id,group,FORK,SKIRT,MUSTARD,BUTTERFLY,CELERY,LILY,STOMACH,SILVER,PINEAPPLE,BUS,SALMON,UNCLE,RABBIT,HAIRDRESSER,TABLECLOTH,ZEBRA,LIP,CAKE,FLUTE,THUMB,WRENCH,FIR TREE,JUICER,RAVEN
3012,control,KNIFE,SHORT,KETCHUP,BUG,STOCK,ROSE,TUMMY,GOLD,FRUIT,CAR,FISH,AUNT,FOOT,HAIRCUT,CHAIR,ZOO,MOUTH,BIRTHDAY,BAND,FINGER,TOOL,HOLIDAYS,ORANGE,BIRD
3013,control,KNIFE,GIRL,KETCHUP,PRETTY,VEGETABLE,FLOWER,FOOD,GOLD,FRUIT,CAR,FISH,AUNT,BUNNY,HAIR,CHAIRS,STRIPES,KISS,EAT,PLAY,FINGER,TOOL,NATURE,BOX,BIRD
3014,control,KNIFE,PANTS,KETCHUP,BEE,PEPPERS,ROSE,CHEST,GOLD,MANGO,CAR,TUNA,AUNT,MOUSE,SCISSORS,TABLECLOTH,ELEPHANT,LIPSTICK,ICING,HARP,HAND,HAMMER,TREE,ORANGE,DOVE
3016,control,KNIFE,PANTS,KETCHUP,WINGS,VEGETABLE,WHITE,FOOD,GOLD,FRUIT,DRIVER,FISH,AUNT,FUR,BRUSH,LEG,STRIPE,TEETH,EAT,INSTRUMENT,HAND,BOLT,FOREST,DRINK,BIRD
3017,control,UTENSIL,CLOTHING,KETCHUP,BEAUTIFUL,VEGETABLE,FLOWER,INTESTINE,METAL,FRUIT,TRANSPORTATION,FISH,RELATIVE,ANIMAL,CUT,CHAIR,STRIPES,PLUMP,DELICIOUS,INSTRUMENT,GREEN,TOOL,GREEN,APPLE,BIRD
3018,control,KNIFE,BLOUSE,KETCHUP,WING,STOCK,FLOWER,ACHE,GOLD,BANANA,CAR,FISH,AUNT,FOOT,HAIR,CHAIR,STRIPE,MOUTH,COOKIE,GUITAR,FINGER,SCREWDRIVER,CHRISTMAS,ORANGE,BIRD
3019,control,FOOD,LEGS,KETCHUP,INSECT,VEGETABLE,FLOWER,FOOD,JEWEL,FRUIT,TRANSPORT,FISH,NEPHEW,ANIMAL,SCISSORS,CHAIR,STRIPES,MOUTH,FOOD,MUSIC,HAND,BENCH,FOREST,DRINK,MUSIC
3020,control,SPOON,PANTS,KETCHUP,NET,VEGETABLE,FLOWER,HUNGRY,SHINY,FRUIT,CAR,FISH,AUNT,JUMP,SCISSORS,CHAIR,STRIPES,MOUTH,DESSERT,MUSIC,HAND,SOCKET,PINECONE,APPLE,BIRD
3021,control,UTENSIL,MINI,KETCHUP,COLORFUL,STICK,FLOWER,FLU,JEWELRY,JUICE,SCHOOL,FISH,RELATIVE,BUNNY,SALON,FOLDING,EXOTIC,GLOSS,BIRTHDAY,MUSIC,FINGER,SOCKET,TREE,FRUIT,BLACK
3022,control,SPOON,DRESS,KETCHUP,INSECT,CARROT,FLOWER,ACHE,GOLD,JUICE,RIDE,FISH,AUNT,HOLE,HAIRCUT,CHAIR,HORSE,MOUTH,FROSTING,MUSIC,FINGER,HAMMER,FOREST,ORANGE,BIRD
3023,control,KNIFE,SHIRT,YELLOW,WING,GREEN,FLOWER,PAIN,RING,JUICE,CAR,FISH,AUNT,BUNNY,STYLIST,CHAIR,STRIPES,NOSE,BIRTHDAY,MUSIC,PRINT,HAMMER,FOREST,ORANGE,BLACK
3025,control,KNIFE,LEGGINGS,KETCHUP,FLOWER,LEAVES,WHITE,FLU,GOLD,FRUIT,SCHOOL,FISH,AUNT,EGG,CUT,CHAIR,STRIPES,KISS,DESSERT,MUSIC,HITCHHIKING,BOLT,NEEDLES,GRAPE,FEATHERS
3026,control,KNIFE,MINI,SEED,WING,STALK,PAD,ACHE,GOLD,JUICE,TRAIN,FISH,AUNT,FOOT,COLOR,TOP,HORSE,STICK,PIE,MUSIC,FINGER,SCREWDRIVER,ELM,FRUIT,RAVEN
