id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1003,artists,free,COT,cot,SALMON,salmon,0.84886,1.026,0.86476,1.04515,1.07052,0.97106,0.20328
1003,artists,common,FISH,fish,SALMON,salmon,0.42191,0.46418,0.40316,0.23058,0.3458,0.37313,-0.28929
1003,artists,uncommon,STREAM,stream,SALMON,salmon,0.7855,0.80988,0.82375,0.8028,0.75771,0.79593,0.08394
1003,artists,common,GOLD,gold,SILVER,silver,0.29947,0.45726,0.27941,0.13038,0.15191,0.26369,-0.40073
1003,artists,uncommon,GOLD,gold,SILVER,silver,0.29947,0.45726,0.27941,0.13038,0.15191,0.26369,-0.40073
1003,artists,free,TARNISH,tarnish,SILVER,silver,0.67893,0.94191,0.70238,0.25923,0.89655,0.6958,0.02808
1003,artists,uncommon,DRESS,dress,SKIRT,skirt,0.38886,0.52903,0.51895,0.37976,0.35368,0.43406,-0.25245
1003,artists,free,LEG,leg,SKIRT,skirt,0.71453,0.87981,0.79908,0.9548,0.83208,0.83606,0.07994
1003,artists,common,SHORT,short,SKIRT,skirt,0.693,0.79015,0.86845,0.83935,0.69969,0.77813,0.05496
1003,artists,common,FOOD,food,STOMACH,stomach,0.67139,0.76713,0.85572,0.70785,0.81311,0.76304,0.05296
1003,artists,free,INTESTINE,intestine,STOMACH,stomach,0.47562,0.60851,0.4785,0.1217,0.43195,0.42326,-0.22338
1003,artists,uncommon,PAIN,pain,STOMACH,stomach,0.63906,0.69663,0.7182,0.94797,0.46275,0.69292,-0.04884
1003,artists,common,CHAIR,chair,TABLE,table,0.52585,0.60076,0.81866,0.44143,0.56395,0.59013,-0.07823
1003,artists,uncommon,CHAIR,chair,TABLE,table,0.52585,0.60076,0.81866,0.44143,0.56395,0.59013,-0.07823
1003,artists,free,DIRTY,dirty,TABLE,table,0.73436,0.93736,0.867,0.97344,0.78981,0.86039,0.10705
1003,artists,common,HAND,hand,THUMB,thumb,0.53294,0.61912,0.59635,0.39034,0.53144,0.53404,-0.14252
1003,artists,uncommon,PRINT,print,THUMB,thumb,0.74346,0.69132,0.8742,1.08953,0.78923,0.83755,0.08625
1003,artists,free,SCAN,scan,THUMB,thumb,0.91167,0.93184,0.91726,1.13113,0.67843,0.91407,0.1704
1003,artists,common,AUNT,aunt,UNCLE,uncle,0.35254,0.56822,0.39013,0.16784,0.33393,0.36253,-0.30808
1003,artists,uncommon,AUNT,aunt,UNCLE,uncle,0.35254,0.56822,0.39013,0.16784,0.33393,0.36253,-0.30808
1003,artists,free,BROTHER,brother,UNCLE,uncle,0.3369,0.59649,0.36526,0.64045,0.2074,0.4293,-0.31553
